,Cell type,test,cell tissue,cell source,material
0,PC12,MTT,Adrenal Gland,Rat,SiO2
1,PC12,MTT,Adrenal Gland,Rat,SiO2
2,PC12,MTT,Adrenal Gland,Rat,SiO2
3,PC12,MTT,Adrenal Gland,Rat,SiO2
4,PC12,MTT,Adrenal Gland,Rat,SiO2
5,PC12,MTT,Adrenal Gland,Rat,SiO2
6,PC12,MTT,Adrenal Gland,Rat,SiO2
7,PC12,MTT,Adrenal Gland,Rat,SiO2
8,PC12,MTT,Adrenal Gland,Rat,SiO2
9,PC12,MTT,Adrenal Gland,Rat,SiO2
10,PC12,MTT,Adrenal Gland,Rat,SiO2
11,PC12,MTT,Adrenal Gland,Rat,SiO2
12,PC12,MTT,Adrenal Gland,Rat,SiO2
13,PC12,MTT,Adrenal Gland,Rat,SiO2
14,PC12,MTT,Adrenal Gland,Rat,SiO2
15,PC12,MTT,Adrenal Gland,Rat,SiO2
16,PC12,MTT,Adrenal Gland,Rat,SiO2
17,PC12,MTT,Adrenal Gland,Rat,SiO2
18,PC12,MTT,Adrenal Gland,Rat,SiO2
19,PC12,MTT,Adrenal Gland,Rat,SiO2
20,PC12,MTT,Adrenal Gland,Rat,SiO2
21,PC12,MTT,Adrenal Gland,Rat,SiO2
22,PC12,MTT,Adrenal Gland,Rat,SiO2
23,PC12,MTT,Adrenal Gland,Rat,SiO2
24,PC12,MTT,Adrenal Gland,Rat,SiO2
25,PC12,MTT,Adrenal Gland,Rat,SiO2
26,PC12,MTT,Adrenal Gland,Rat,SiO2
27,PC12,MTT,Adrenal Gland,Rat,SiO2
28,PC12,MTT,Adrenal Gland,Rat,SiO2
29,PC12,MTT,Adrenal Gland,Rat,SiO2
30,PC12,MTT,Adrenal Gland,Rat,SiO2
31,PC12,MTT,Adrenal Gland,Rat,SiO2
32,PC12,MTT,Adrenal Gland,Rat,SiO2
33,PC12,MTT,Adrenal Gland,Rat,SiO2
34,PC12,MTT,Adrenal Gland,Rat,SiO2
35,PC12,MTT,Adrenal Gland,Rat,SiO2
36,PC12,MTT,Adrenal Gland,Rat,SiO2
37,PC12,MTT,Adrenal Gland,Rat,SiO2
38,PC12,MTT,Adrenal Gland,Rat,SiO2
39,PC12,MTT,Adrenal Gland,Rat,SiO2
40,PC12,MTT,Adrenal Gland,Rat,SiO2
41,PC12,MTT,Adrenal Gland,Rat,SiO2
42,PC12,MTT,Adrenal Gland,Rat,SiO2
43,PC12,MTT,Adrenal Gland,Rat,SiO2
44,PC12,MTT,Adrenal Gland,Rat,SiO2
45,PC12,MTT,Adrenal Gland,Rat,SiO2
46,PC12,MTT,Adrenal Gland,Rat,SiO2
47,PC12,MTT,Adrenal Gland,Rat,SiO2
48,PC12,MTT,Adrenal Gland,Rat,SiO2
49,PC12,MTT,Adrenal Gland,Rat,SiO2
50,PC12,MTT,Adrenal Gland,Rat,SiO2
51,PC12,MTT,Adrenal Gland,Rat,SiO2
52,PC12,MTT,Adrenal Gland,Rat,SiO2
53,PC12,MTT,Adrenal Gland,Rat,SiO2
54,PC12,MTT,Adrenal Gland,Rat,SiO2
55,PC12,MTT,Adrenal Gland,Rat,SiO2
56,PC12,MTT,Adrenal Gland,Rat,SiO2
57,PC12,MTT,Adrenal Gland,Rat,SiO2
58,PC12,MTT,Adrenal Gland,Rat,SiO2
59,PC12,MTT,Adrenal Gland,Rat,SiO2
60,RAW264.7,CellTiterBlue,Ascites,Mouse,SiO2
61,RAW264.7,CellTiterBlue,Ascites,Mouse,SiO2
62,RAW264.7,CellTiterBlue,Ascites,Mouse,SiO2
63,RAW264.7,CellTiterBlue,Ascites,Mouse,SiO2
64,RAW264.7,XTT,Ascites,Mouse,SiO2
65,RAW264.7,XTT,Ascites,Mouse,SiO2
66,RAW264.7,XTT,Ascites,Mouse,SiO2
67,RAW264.7,XTT,Ascites,Mouse,SiO2
68,RAW264.7,LDH,Ascites,Mouse,SiO2
69,RAW264.7,LDH,Ascites,Mouse,SiO2
70,RAW264.7,LDH,Ascites,Mouse,SiO2
71,RAW264.7,LDH,Ascites,Mouse,SiO2
72,RAW264.7,Live/Dead,Ascites,Mouse,SiO2
73,RAW264.7,Live/Dead,Ascites,Mouse,SiO2
74,RAW264.7,Live/Dead,Ascites,Mouse,SiO2
75,RAW264.7,Live/Dead,Ascites,Mouse,SiO2
76,RAW264.7,Live/Dead,Ascites,Mouse,SiO2
77,RAW264.7,Live/Dead,Ascites,Mouse,SiO2
78,RAW264.7,Live/Dead,Ascites,Mouse,SiO2
79,RAW264.7,Live/Dead,Ascites,Mouse,SiO2
80,VERO,MTT,Kidney,Monkey,Fe3O4
81,VERO,MTT,Kidney,Monkey,Fe3O4
82,VERO,MTT,Kidney,Monkey,Fe3O4
83,VERO,MTT,Kidney,Monkey,Fe3O4
84,VERO,MTT,Kidney,Monkey,Fe3O4
85,MDCK,MTT,Kidney,Dog,Fe3O4
86,MDCK,MTT,Kidney,Dog,Fe3O4
87,MDCK,MTT,Kidney,Dog,Fe3O4
88,MDCK,MTT,Kidney,Dog,Fe3O4
89,MDCK,MTT,Kidney,Dog,Fe3O4
90,MDCK,MTT,Kidney,Dog,Fe3O4
91,MDCK,MTT,Kidney,Dog,Fe3O4
92,MDCK,MTT,Kidney,Dog,Fe3O4
93,MDCK,MTT,Kidney,Dog,Fe3O4
94,MDCK,MTT,Kidney,Dog,Fe3O4
95,MDCK,MTT,Kidney,Dog,Fe3O4
96,MDCK,MTT,Kidney,Dog,Fe3O4
97,MDCK,MTT,Kidney,Dog,Fe3O4
98,MDCK,MTT,Kidney,Dog,Fe3O4
99,MDCK,MTT,Kidney,Dog,Fe3O4
194,Caco-2,CellTiterBlue,Colon,Human,Ag
195,Caco-2,CellTiterBlue,Colon,Human,Ag
196,Caco-2,CellTiterBlue,Colon,Human,Ag
197,Caco-2,CellTiterBlue,Colon,Human,Ag
198,Caco-2,CellTiterBlue,Colon,Human,Ag
199,Caco-2,CellTiterBlue,Colon,Human,Ag
200,Caco-2,CellTiterBlue,Colon,Human,Ag
201,Caco-2,CellTiterBlue,Colon,Human,Ag
202,Caco-2,CellTiterBlue,Colon,Human,Ag
203,Caco-2,CellTiterBlue,Colon,Human,Ag
204,Caco-2,CellTiterBlue,Colon,Human,Ag
205,Caco-2,CellTiterBlue,Colon,Human,Ag
206,Caco-2,CellTiterBlue,Colon,Human,Ag
207,Caco-2,CellTiterBlue,Colon,Human,Ag
