,time (hr),concentration (ug/ml),viability (%),Hydrodynamic diameter (nm),Zeta potential (mV)
0,12.0,1.95,113.67,386.9,-35.9
1,12.0,3.9,97.265,386.9,-35.9
2,12.0,7.8,108.73,386.9,-35.9
3,12.0,15.6,98.451,386.9,-35.9
4,12.0,31.2,98.056,386.9,-35.9
5,12.0,62.5,100.43,386.9,-35.9
6,12.0,125.0,95.881,386.9,-35.9
7,12.0,250.0,79.473,386.9,-35.9
8,12.0,500.0,94.893,386.9,-35.9
9,12.0,1000.0,79.275,386.9,-35.9
10,24.0,1.95,105.21,386.9,-35.9
11,24.0,3.9,120.85,386.9,-35.9
12,24.0,7.8,117.25,386.9,-35.9
13,24.0,15.6,106.06,386.9,-35.9
14,24.0,31.2,84.93,386.9,-35.9
15,24.0,62.5,96.127,386.9,-35.9
16,24.0,125.0,94.225,386.9,-35.9
17,24.0,250.0,103.94,386.9,-35.9
18,24.0,500.0,79.014,386.9,-35.9
19,24.0,1000.0,63.803,386.9,-35.9
20,12.0,1.95,97.463,375.4,-26.8
21,12.0,3.9,95.486,375.4,-26.8
22,12.0,7.8,89.951,375.4,-26.8
23,12.0,15.6,105.96,375.4,-26.8
24,12.0,31.2,95.091,375.4,-26.8
25,12.0,62.5,96.474,375.4,-26.8
26,12.0,125.0,94.3,375.4,-26.8
27,12.0,250.0,72.356,375.4,-26.8
28,12.0,500.0,70.774,375.4,-26.8
29,12.0,1000.0,71.763,375.4,-26.8
30,24.0,1.95,103.52,375.4,-26.8
31,24.0,3.9,96.761,375.4,-26.8
32,24.0,7.8,109.86,375.4,-26.8
33,24.0,15.6,122.75,375.4,-26.8
34,24.0,31.2,104.58,375.4,-26.8
35,24.0,62.5,118.73,375.4,-26.8
36,24.0,125.0,94.648,375.4,-26.8
37,24.0,250.0,103.1,375.4,-26.8
38,24.0,500.0,105.63,375.4,-26.8
39,24.0,1000.0,80.493,375.4,-26.8
40,12.0,1.95,120.0,437.0,21.7
41,12.0,3.9,119.41,437.0,21.7
42,12.0,7.8,109.52,437.0,21.7
43,12.0,15.6,111.3,437.0,21.7
44,12.0,31.2,114.86,437.0,21.7
45,12.0,62.5,116.05,437.0,21.7
46,12.0,125.0,106.95,437.0,21.7
47,12.0,250.0,73.74,437.0,21.7
48,12.0,500.0,93.904,437.0,21.7
49,12.0,1000.0,76.31,437.0,21.7
50,24.0,1.95,104.15,437.0,21.7
51,24.0,3.9,102.89,437.0,21.7
52,24.0,7.8,102.04,437.0,21.7
53,24.0,15.6,94.225,437.0,21.7
54,24.0,31.2,90.423,437.0,21.7
55,24.0,62.5,91.056,437.0,21.7
56,24.0,125.0,100.77,437.0,21.7
57,24.0,250.0,96.761,437.0,21.7
58,24.0,500.0,103.94,437.0,21.7
59,24.0,1000.0,85.775,437.0,21.7
60,24.0,1.0,107.59,10.0,-27.0
61,24.0,10.0,100.81,10.0,-27.0
62,24.0,100.0,70.11,10.0,-27.0
63,24.0,1000.0,22.617,10.0,-27.0
64,24.0,1.0,123.42,10.0,-27.0
65,24.0,10.0,114.38,10.0,-27.0
66,24.0,100.0,82.714,10.0,-27.0
67,24.0,1000.0,25.525,10.0,-27.0
68,24.0,1.0,4.5234,10.0,-27.0
69,24.0,10.0,6.1389,10.0,-27.0
70,24.0,100.0,22.294,10.0,-27.0
71,24.0,1000.0,69.467,10.0,-27.0
72,24.0,1.0,95.315,10.0,-27.0
73,24.0,10.0,86.268,10.0,-27.0
74,24.0,100.0,69.467,10.0,-27.0
75,24.0,1000.0,9.6931,10.0,-27.0
76,24.0,1.0,94.023,10.0,-27.0
77,24.0,10.0,91.761,10.0,-27.0
78,24.0,100.0,71.729,10.0,-27.0
79,24.0,1000.0,44.265,10.0,-27.0
80,24.0,100.0,102.0,18.0,7.359999999999999
81,24.0,200.0,105.08,18.0,3.51
82,24.0,300.0,100.0,18.0,-5.3
83,24.0,400.0,100.0,18.0,20.02
84,24.0,500.0,80.0,18.0,-24.5
85,24.0,100.0,101.97,18.0,7.359999999999999
86,24.0,200.0,115.09,18.0,-13.0
87,24.0,300.0,115.09,18.0,-2.85
88,24.0,400.0,100.1,18.0,20.02
89,24.0,500.0,118.08,18.0,-4.065
90,24.0,100.0,80.0,18.0,8.29
91,24.0,200.0,75.077,18.0,-23.520000000000003
92,24.0,300.0,50.0,18.0,-41.769999999999996
93,24.0,400.0,38.0,18.0,-38.620000000000005
94,24.0,500.0,34.923,18.0,-30.62
95,24.0,100.0,89.986,18.0,-22.73
96,24.0,200.0,80.245,18.0,-23.520000000000003
97,24.0,300.0,31.916,18.0,-41.769999999999996
98,24.0,400.0,30.043,18.0,-38.620000000000005
99,24.0,500.0,30.043,18.0,-30.62
100,24.0,5.0,88.421,20.0,71.7
101,30.0,5.0,78.421,20.0,24.3
102,48.0,5.0,39.737,20.0,26.180000000000003
103,24.0,10.0,68.158,20.0,-24.5
104,30.0,10.0,49.737,20.0,27.3
105,48.0,10.0,24.474,20.0,-21.8
106,24.0,25.0,33.947,20.0,71.7
107,30.0,25.0,5.5263,20.0,-17.75
108,48.0,25.0,4.2105,20.0,29.28
109,24.0,50.0,20.526,20.0,71.7
110,30.0,50.0,0.26316,20.0,21.3
111,48.0,50.0,2.6316,20.0,29.28
112,24.0,100.0,10.789,20.0,71.7
113,30.0,100.0,0.26316,20.0,21.3
114,48.0,100.0,2.3684,20.0,-43.29
115,24.0,5.0,107.42,40.0,24.1
116,30.0,5.0,98.516,40.0,22.830000000000002
117,48.0,5.0,96.142,40.0,-10.0
118,24.0,10.0,101.09,40.0,22.830000000000002
119,30.0,10.0,90.603,40.0,60.480000000000004
120,48.0,10.0,64.491,40.0,-32.05
121,24.0,25.0,93.966,40.0,39.715
122,30.0,25.0,80.91,40.0,30.54
123,48.0,25.0,43.323,40.0,19.185000000000002
124,24.0,50.0,72.601,40.0,33.22
125,30.0,50.0,54.797,40.0,33.735
126,48.0,50.0,26.706,40.0,-38.015
127,24.0,100.0,43.323,40.0,71.23
128,30.0,100.0,26.706,40.0,71.7
129,48.0,100.0,5.9347,40.0,-31.215
130,24.0,10.0,84.0,22.0,49.26
131,24.0,25.0,72.0,22.0,49.26
132,24.0,50.0,56.0,22.0,49.26
133,24.0,10.0,87.0,22.0,49.26
134,24.0,25.0,79.0,22.0,49.26
135,24.0,50.0,65.0,22.0,49.26
136,24.0,1.35,84.91,17.0,-23.1
137,24.0,2.7,82.481,17.0,-23.1
138,24.0,5.39,77.621,17.0,-23.1
139,24.0,13.48,27.621,17.0,-23.1
140,48.0,1.35,86.189,17.0,-23.1
141,48.0,2.7,85.55,17.0,-23.1
142,48.0,5.39,84.655,17.0,-23.1
143,48.0,13.48,8.0563,17.0,-23.1
144,24.0,1.35,102.89,17.0,-18.4
145,24.0,2.7,95.921,17.0,-18.4
146,24.0,5.39,75.395,17.0,-18.4
147,24.0,13.48,17.895,17.0,-18.4
148,48.0,1.35,102.89,17.0,-18.4
149,48.0,2.7,77.632,17.0,-18.4
150,48.0,5.39,32.763,17.0,-18.4
151,48.0,13.48,5.3947,17.0,-18.4
152,6.0,0.008,99.883,50.0,-17.6
153,6.0,0.08,98.659,50.0,-17.6
154,6.0,0.8,96.91,50.0,-17.6
155,6.0,8.0,95.335,50.0,-17.6
156,6.0,80.0,93.061,50.0,-17.6
157,24.0,0.008,98.659,50.0,-17.6
158,24.0,0.08,99.883,50.0,-17.6
159,24.0,0.8,88.338,50.0,-17.6
160,24.0,8.0,83.44,50.0,-17.6
161,24.0,80.0,80.466,50.0,-17.6
162,48.0,0.008,97.609,50.0,-17.6
163,48.0,0.08,96.385,50.0,-17.6
164,48.0,0.8,85.015,50.0,-17.6
165,48.0,8.0,74.169,50.0,-17.6
166,48.0,80.0,68.222,50.0,-17.6
167,6.0,0.008,98.754,50.0,-17.6
168,6.0,0.08,99.344,50.0,-17.6
169,6.0,0.8,92.262,50.0,-17.6
170,6.0,8.0,91.672,50.0,-17.6
171,6.0,80.0,90.295,50.0,-17.6
172,24.0,0.008,97.574,50.0,-17.6
173,24.0,0.08,93.836,50.0,-17.6
174,24.0,0.8,88.328,50.0,-17.6
175,24.0,8.0,85.377,50.0,-17.6
176,24.0,80.0,77.508,50.0,-17.6
177,48.0,0.008,97.574,50.0,-17.6
178,48.0,0.08,93.049,50.0,-17.6
179,48.0,0.8,85.77,50.0,-17.6
180,48.0,8.0,74.951,50.0,-17.6
181,48.0,80.0,65.311,50.0,-17.6
182,24.0,0.2,98.827,38.0,69.8
183,24.0,0.4,91.134,38.0,8.67
184,24.0,0.8,79.531,38.0,-8.72
185,24.0,0.2,91.134,46.0,18.8
186,24.0,0.4,87.223,46.0,-32.95
187,24.0,0.8,47.849,46.0,71.23
188,24.0,0.2,91.134,60.0,-32.7
189,24.0,0.4,87.353,60.0,-42.3
190,24.0,0.8,56.845,60.0,19.520000000000003
191,24.0,5.0,99.234,5.0,-8.72
192,24.0,10.0,104.44,5.0,-8.72
193,24.0,50.0,136.91,5.0,-8.72
194,24.0,100.0,162.02,5.0,-8.72
195,24.0,1.0,87.472,60.0,-51.9
196,24.0,10.0,61.197,60.0,-51.9
197,24.0,20.0,51.774,60.0,-51.9
198,24.0,50.0,44.9,60.0,-51.9
199,3.0,125.0,95.027,75.0,71.7
200,3.0,250.0,106.05,75.0,71.7
201,3.0,500.0,74.757,75.0,71.7
202,3.0,1000.0,49.297,75.0,71.7
203,3.0,125.0,91.304,75.0,71.7
204,3.0,250.0,90.261,75.0,71.7
205,3.0,500.0,78.957,75.0,71.7
206,3.0,1000.0,65.565,75.0,71.7
207,24.0,0.5,88.907,18.4,26.400000000000002
208,24.0,1.0,89.723,18.4,26.400000000000002
209,24.0,5.0,93.312,18.4,-18.0
210,24.0,10.0,91.517,18.4,-17.92
211,24.0,50.0,80.914,18.4,8.29
212,24.0,100.0,74.388,18.4,-7.6
213,24.0,0.5,88.699,326.5,-23.5
214,24.0,1.0,87.158,326.5,-23.5
215,24.0,5.0,86.473,326.5,-23.5
216,24.0,10.0,90.925,326.5,-23.5
217,24.0,50.0,88.014,326.5,-23.5
