,material,shape,coat/functional group,synthesismethod,surface charge,size in medium (nm),zeta in medium (mV),no of cells (cells/well),human/animal,cell source,cell tissue,cell morphology,cell age,time (hr),concentration (ug/ml),test,test indicator,viability (%),DOI,core size (nm),surface area,Hydrodynamic diameter (nm),Zeta potential (mV),Cell type,Molecular weight (g/mol),norm by time+conc,Zeta norm,Zeta norm (log),Hydro norm,Hydro norm (log),size med norm,size med norm (log),zeta med norm,zeta med norm (log),surf norm,surf norm (log),mol wt norm,mol wt norm (log),Zeta/Diam norm,Zeta/Diam norm (log),zeta/surf norm,zeta/surf norm (log),zeta/(hydro*surf) norm,zeta/(hydro*surf) norm (log),hydro/core,hydro/core norm,hydro/core norm (log),ch per particle norm,ch per particle norm (log),surf per particle norm,surf per particle norm (log),ch per surf per particle norm,ch per surf per particle norm (log),ch per moles norm,ch per moles norm (log)
0,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,1.95,MTT,TetrazoliumSalt,113.67,10.3109/15376516.2015.1070229,,,386.9,-35.9,PC12,60.08431,23.4,-1.5341880341880343,,16.534188034188034,1.218382872311102,3.8500000000000005,0.5854607295085007,,,,,2.567705555555556,0.40954522074842903,-0.003965334800175845,,,,,,,,,,,,,,,-0.025533921154924377,
1,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,3.9,MTT,TetrazoliumSalt,97.265,10.3109/15376516.2015.1070229,,,386.9,-35.9,PC12,60.08431,46.8,-0.7670940170940171,,8.267094017094017,0.917352876647121,1.9250000000000003,0.28443073384451956,,,,,1.283852777777778,0.10851522508444782,-0.0019826674000879225,,,,,,,,,,,,,,,-0.012766960577462188,
2,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,7.8,MTT,TetrazoliumSalt,108.73,10.3109/15376516.2015.1070229,,,386.9,-35.9,PC12,60.08431,93.6,-0.38354700854700857,,4.1335470085470085,0.6163228809831397,0.9625000000000001,-0.016599261819461655,,,,,0.641926388888889,-0.19251477057953337,-0.0009913337000439612,,,,,,,,,,,,,,,-0.006383480288731094,
3,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,15.6,MTT,TetrazoliumSalt,98.451,10.3109/15376516.2015.1070229,,,386.9,-35.9,PC12,60.08431,187.2,-0.19177350427350429,,2.0667735042735043,0.3152928853191585,0.48125000000000007,-0.31762925748344284,,,,,0.3209631944444445,-0.49354476624351457,-0.0004956668500219806,,,,,,,,,,,,,,,-0.003191740144365547,
4,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,31.2,MTT,TetrazoliumSalt,98.056,10.3109/15376516.2015.1070229,,,386.9,-35.9,PC12,60.08431,374.4,-0.09588675213675214,,1.0333867521367521,0.014262889655177323,0.24062500000000003,-0.6186592531474241,,,,,0.16048159722222224,-0.7945747619074958,-0.0002478334250109903,,,,,,,,,,,,,,,-0.0015958700721827735,
5,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,62.5,MTT,TetrazoliumSalt,100.43,10.3109/15376516.2015.1070229,,,386.9,-35.9,PC12,60.08431,750.0,-0.04786666666666666,,0.5158666666666666,-0.28746253367045516,0.12012,-0.9203846764730566,,,,,0.08011241333333334,-1.0963001852331282,-0.00012371844576548633,,,,,,,,,,,,,,,-0.0007966583400336405,
6,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,125.0,MTT,TetrazoliumSalt,95.881,10.3109/15376516.2015.1070229,,,386.9,-35.9,PC12,60.08431,1500.0,-0.02393333333333333,,0.2579333333333333,-0.5884925293344364,0.06006,-1.2214146721370378,,,,,0.04005620666666667,-1.3973301808971095,-6.185922288274316e-05,,,,,,,,,,,,,,,-0.00039832917001682023,
7,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,250.0,MTT,TetrazoliumSalt,79.473,10.3109/15376516.2015.1070229,,,386.9,-35.9,PC12,60.08431,3000.0,-0.011966666666666665,,0.12896666666666665,-0.8895225249984176,0.03003,-1.5224446678010188,,,,,0.020028103333333335,-1.6983601765610905,-3.092961144137158e-05,,,,,,,,,,,,,,,-0.00019916458500841012,
8,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,500.0,MTT,TetrazoliumSalt,94.893,10.3109/15376516.2015.1070229,,,386.9,-35.9,PC12,60.08431,6000.0,-0.005983333333333333,,0.06448333333333332,-1.1905525206623988,0.015015,-1.823474663465,,,,,0.010014051666666668,-1.9993901722250718,-1.546480572068579e-05,,,,,,,,,,,,,,,-9.958229250420506e-05,
9,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,1000.0,MTT,TetrazoliumSalt,79.275,10.3109/15376516.2015.1070229,,,386.9,-35.9,PC12,60.08431,12000.0,-0.0029916666666666663,,0.03224166666666666,-1.49158251632638,0.0075075,-2.124504659128981,,,,,0.005007025833333334,-2.300420167889053,-7.732402860342896e-06,,,,,,,,,,,,,,,-4.979114625210253e-05,
10,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,1.95,MTT,TetrazoliumSalt,105.21,10.3109/15376516.2015.1070229,,,386.9,-35.9,PC12,60.08431,46.8,-0.7670940170940171,,8.267094017094017,0.917352876647121,1.9250000000000003,0.28443073384451956,,,,,1.283852777777778,0.10851522508444782,-0.0019826674000879225,,,,,,,,,,,,,,,-0.012766960577462188,
11,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,3.9,MTT,TetrazoliumSalt,120.85,10.3109/15376516.2015.1070229,,,386.9,-35.9,PC12,60.08431,93.6,-0.38354700854700857,,4.1335470085470085,0.6163228809831397,0.9625000000000001,-0.016599261819461655,,,,,0.641926388888889,-0.19251477057953337,-0.0009913337000439612,,,,,,,,,,,,,,,-0.006383480288731094,
12,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,7.8,MTT,TetrazoliumSalt,117.25,10.3109/15376516.2015.1070229,,,386.9,-35.9,PC12,60.08431,187.2,-0.19177350427350429,,2.0667735042735043,0.3152928853191585,0.48125000000000007,-0.31762925748344284,,,,,0.3209631944444445,-0.49354476624351457,-0.0004956668500219806,,,,,,,,,,,,,,,-0.003191740144365547,
